Role,Prompt,Question,Option A,Option B,Option C,Option D,Correct Answer
Mobile App Developer,UI/UX Design,Would you like to improve your UI/UX Design?,Never,Highly motivated,Rarely,Neutral,A
Unreal Engine Developer,Adaptability,How confident are you in your Adaptability?,Somewhat interested,Not very interested,Not at all interested,Very interested,A
Security Analyst,Machine Learning,How confident are you in your Machine Learning?,Somewhat confident,No experience,Very confident,Not confident,A
Cloud Security Specialist,Oral Expression,Would you enjoy opportunities focused on Oral Expression?,Somewhat interested,Not very interested,Not at all interested,Very interested,A
Build and Release Engineer,Cybersecurity Fundamentals,To what extent does Cybersecurity Fundamentals excite you?,Somewhat confident,Very confident,No experience,Not confident,A
Frontend Web Developer,Cloud Computing,Do you enjoy working on projects that require Cloud Computing?,Maybe,Not really,Absolutely,Definitely not,D
AR/VR Tester,Attention to Detail,Do you enjoy working on projects that require Attention to Detail?,Not confident,Somewhat confident,Very confident,No experience,C
Product Designer,System Architecture,To what extent does System Architecture excite you?,Strongly agree,Disagree,Agree,Strongly disagree,D
iOS Developer,UI/UX Design,Would you like to improve your UI/UX Design?,Maybe,Definitely not,Absolutely,Not really,D
AI Product Manager,Independence,How confident are you in your Independence?,Neutral,Never,Highly motivated,Rarely,B
NLP Engineer,System Architecture,Do you see yourself using System Architecture frequently in your career?,Not confident,Somewhat confident,No experience,Very confident,A
Statistician,Attention to Detail,How confident are you in your Attention to Detail?,Highly motivated,Rarely,Never,Neutral,D
Monitoring Specialist,Cooperation,Do you feel motivated by activities involving Cooperation?,Not confident,Very confident,Somewhat confident,No experience,A
Web Performance Engineer,Analytical Thinking,Would you enjoy opportunities focused on Analytical Thinking?,Neutral,Never,Highly motivated,Rarely,B
UX Designer,System Evaluation,To what extent does System Evaluation excite you?,Not very interested,Very interested,Somewhat interested,Not at all interested,C
Backend Developer,DevOps Practices,How interested are you in tasks involving DevOps Practices?,Somewhat interested,Not at all interested,Not very interested,Very interested,C
Full Stack Developer,Mobile Development,Would you like to improve your Mobile Development?,Not very interested,Very interested,Not at all interested,Somewhat interested,D
Industrial Robot Technician,System Architecture,Does the idea of practicing System Architecture appeal to you?,Strongly disagree,Agree,Strongly agree,Disagree,C
IoT Security Analyst,Written Comprehension,How much do you value Written Comprehension in your work environment?,Agree,Strongly disagree,Strongly agree,Disagree,B
Hadoop Developer,Dependability,Would you enjoy opportunities focused on Dependability?,Not confident,No experience,Very confident,Somewhat confident,A
Desktop Application Developer,Version Control (Git),How much do you value Version Control (Git) in your work environment?,Very interested,Somewhat interested,Not very interested,Not at all interested,C
3D Artist,Time Management,Do you feel motivated by activities involving Time Management?,Highly motivated,Rarely,Neutral,Never,C
IoT Developer,Stress Tolerance,Would you like to improve your Stress Tolerance?,No experience,Not confident,Very confident,Somewhat confident,B
Security Engineer,Oral Expression,Would you like to improve your Oral Expression?,Somewhat interested,Very interested,Not at all interested,Not very interested,B
Automation Engineer,Persistence,Do you enjoy working on projects that require Persistence?,Not confident,Very confident,Somewhat confident,No experience,D
Security Analyst,Adaptability,How much do you value Adaptability in your work environment?,Rarely,Neutral,Never,Highly motivated,D
Spatial Computing Engineer,Communication,Do you feel motivated by activities involving Communication?,Never,Rarely,Highly motivated,Neutral,B
AR/VR Tester,Written Comprehension,To what extent does Written Comprehension excite you?,Strongly disagree,Strongly agree,Disagree,Agree,B
Design Systems Specialist,Learning Strategies,Would you enjoy opportunities focused on Learning Strategies?,Not at all interested,Not very interested,Somewhat interested,Very interested,C
Field Application Engineer,Creativity,How interested are you in tasks involving Creativity?,Not very interested,Somewhat interested,Not at all interested,Very interested,C
IT Infrastructure Analyst,Written Comprehension,How confident are you in your Written Comprehension?,Neutral,Highly motivated,Never,Rarely,C
Interaction Designer,System Architecture,Do you see yourself using System Architecture frequently in your career?,Never,Neutral,Highly motivated,Rarely,B
UX Researcher,Dependability,Do you see yourself using Dependability frequently in your career?,No experience,Somewhat confident,Very confident,Not confident,D
Embedded Systems Engineer,Testing and Debugging,Would you like to improve your Testing and Debugging?,Not confident,Somewhat confident,No experience,Very confident,C
Game Programmer,DevOps Practices,To what extent does DevOps Practices excite you?,Strongly agree,Strongly disagree,Disagree,Agree,A
Technical Support Engineer,Initiative,To what extent does Initiative excite you?,Somewhat interested,Very interested,Not very interested,Not at all interested,C
Backend Developer,Stress Tolerance,Does the idea of practicing Stress Tolerance appeal to you?,Rarely,Neutral,Highly motivated,Never,D
Database Developer,Version Control (Git),Would you enjoy opportunities focused on Version Control (Git)?,Somewhat interested,Not very interested,Not at all interested,Very interested,C
Cloud Security Specialist,DevOps Practices,Would you like to improve your DevOps Practices?,Highly motivated,Rarely,Never,Neutral,B
NLP Engineer,UI/UX Design,To what extent does UI/UX Design excite you?,Neutral,Never,Highly motivated,Rarely,C
IT Infrastructure Analyst,Oral Expression,Do you enjoy working on projects that require Oral Expression?,Highly motivated,Never,Rarely,Neutral,D
AWS/GCP/Azure Specialist,Learning Strategies,Do you feel motivated by activities involving Learning Strategies?,Disagree,Strongly disagree,Agree,Strongly agree,B
Customer Insights Analyst,Cooperation,Would you enjoy opportunities focused on Cooperation?,Neutral,Highly motivated,Rarely,Never,B
Smart Contract Developer,Critical Thinking,How interested are you in tasks involving Critical Thinking?,Highly motivated,Neutral,Rarely,Never,B
Hardware-Software Integrator,Initiative,How much do you value Initiative in your work environment?,Very confident,Not confident,No experience,Somewhat confident,B
Smart Contract Developer,Mobile Development,How confident are you in your Mobile Development?,No experience,Very confident,Somewhat confident,Not confident,B
Web Application Developer,Leadership,Would you enjoy opportunities focused on Leadership?,Never,Highly motivated,Neutral,Rarely,B
Associate Product Manager,System Evaluation,Would you enjoy opportunities focused on System Evaluation?,Strongly agree,Disagree,Agree,Strongly disagree,A
Product Designer,Agile Methodology,To what extent does Agile Methodology excite you?,Not confident,No experience,Somewhat confident,Very confident,B
Desktop Support Specialist,Database Management,Does the idea of practicing Database Management appeal to you?,Somewhat confident,No experience,Not confident,Very confident,C
NLP Engineer,DevOps Practices,Do you see yourself using DevOps Practices frequently in your career?,Definitely not,Maybe,Not really,Absolutely,D
iOS Developer,Communication,Would you enjoy opportunities focused on Communication?,Never,Neutral,Highly motivated,Rarely,A
Computer Vision Engineer,Decision Making,How much do you value Decision Making in your work environment?,No experience,Somewhat confident,Not confident,Very confident,A
Data Analyst,Leadership,Do you feel motivated by activities involving Leadership?,Highly motivated,Neutral,Never,Rarely,C
Mechatronics Engineer,Analytical Thinking,Would you like to improve your Analytical Thinking?,No experience,Somewhat confident,Not confident,Very confident,A
Platform Engineer,DevOps Practices,To what extent does DevOps Practices excite you?,Agree,Strongly agree,Disagree,Strongly disagree,C
DApp Developer,Independence,How much do you value Independence in your work environment?,Maybe,Definitely not,Absolutely,Not really,B
Desktop Application Developer,Team Collaboration,Do you feel motivated by activities involving Team Collaboration?,Somewhat confident,Very confident,Not confident,No experience,D
Blockchain QA Engineer,Adaptability,Does the idea of practicing Adaptability appeal to you?,No experience,Very confident,Somewhat confident,Not confident,C
Hadoop Developer,Python Programming,Would you like to improve your Python Programming?,Very interested,Not at all interested,Not very interested,Somewhat interested,C
API Developer,Critical Thinking,How much do you value Critical Thinking in your work environment?,Strongly disagree,Disagree,Agree,Strongly agree,C
IoT Product Designer,System Evaluation,Do you feel motivated by activities involving System Evaluation?,Very confident,No experience,Not confident,Somewhat confident,B
React Native Developer,Stress Tolerance,Does the idea of practicing Stress Tolerance appeal to you?,Not really,Definitely not,Absolutely,Maybe,D
